zipcode,city,state,latitude,longitude,timezone,dst
1431,"Ashby","MA",42.67,-71.81,-5,1
1432,"Ayer","MA",42.55,-71.59,-5,1
1436,"Baldwinville","MA",42.61,-72.08,-5,1
1438,"East Templeton","MA",42.56,-72.03,-5,1
1440,"Gardner","MA",42.58,-71.99,-5,1
1441,"Gardner","MA",42.36,-71.9,-5,1
1450,"Groton","MA",42.61,-71.56,-5,1
1451,"Harvard","MA",42.51,-71.59,-5,1
1452,"Hubbardston","MA",42.48,-72,-5,1
1453,"Leominster","MA",42.53,-71.75,-5,1
1460,"Littleton","MA",42.54,-71.49,-5,1
1462,"Lunenburg","MA",42.58,-71.72,-5,1
1463,"Pepperell","MA",42.67,-71.59,-5,1
1464,"Shirley","MA",42.56,-71.65,-5,1
1467,"Still River","MA",42.49,-71.62,-5,1
1468,"Templeton","MA",42.56,-72.07,-5,1
1469,"Townsend","MA",42.66,-71.69,-5,1
1470,"Groton","MA",42.45,-71.46,-5,1
1471,"Groton","MA",42.45,-71.46,-5,1
1472,"West Groton","MA",42.45,-71.46,-5,1
1473,"Westminster","MA",42.54,-71.9,-5,1
1474,"West Townsend","MA",42.67,-71.75,-5,1
1475,"Winchendon","MA",42.68,-72.05,-5,1
1477,"Winchendon Springs","MA",42.36,-71.9,-5,1
1501,"Auburn","MA",42.2,-71.84,-5,1
1503,"Berlin","MA",42.38,-71.63,-5,1
1504,"Blackstone","MA",42.03,-71.53,-5,1
1505,"Boylston","MA",42.34,-71.73,-5,1
1506,"Brookfield","MA",42.2,-72.1,-5,1
1507,"Charlton","MA",42.14,-71.97,-5,1
1508,"Charlton City","MA",42.11,-72.08,-5,1
1509,"Charlton Depot","MA",42.36,-71.9,-5,1
1510,"Clinton","MA",42.42,-71.68,-5,1
1515,"East Brookfield","MA",42.21,-72.05,-5,1
1516,"Douglas","MA",42.06,-71.73,-5,1
1517,"East Princeton","MA",42.36,-71.9,-5,1
1518,"Fiskdale","MA",42.13,-72.12,-5,1
1519,"Grafton","MA",42.2,-71.69,-5,1
1520,"Holden","MA",42.34,-71.84,-5,1
1521,"Holland","MA",42.05,-72.16,-5,1
1522,"Jefferson","MA",42.37,-71.87,-5,1
1523,"Lancaster","MA",42.47,-71.68,-5,1
1524,"Leicester","MA",42.24,-71.92,-5,1
1525,"Linwood","MA",42.36,-71.9,-5,1
1526,"Manchaug","MA",42.36,-71.9,-5,1
1527,"Millbury","MA",42.2,-71.76,-5,1
1529,"Millville","MA",42.04,-71.58,-5,1
1531,"New Braintree","MA",42.32,-72.12,-5,1
1532,"Northborough","MA",42.32,-71.65,-5,1
1534,"Northbridge","MA",42.14,-71.64,-5,1
1535,"North Brookfield","MA",42.27,-72.08,-5,1
1536,"North Grafton","MA",42.23,-71.71,-5,1
1537,"North Oxford","MA",42.17,-71.89,-5,1
1538,"North Uxbridge","MA",42.36,-71.9,-5,1
1540,"Oxford","MA",42.12,-71.87,-5,1
1541,"Princeton","MA",42.45,-71.88,-5,1
1542,"Rochdale","MA",42.19,-71.91,-5,1
1543,"Rutland","MA",42.38,-71.96,-5,1
1545,"Shrewsbury","MA",42.29,-71.73,-5,1
1546,"Shrewsbury","MA",42.36,-71.9,-5,1
1550,"Southbridge","MA",42.07,-72.04,-5,1
1560,"South Grafton","MA",42.18,-71.69,-5,1
1561,"South Lancaster","MA",42.44,-71.69,-5,1
1562,"Spencer","MA",42.25,-71.99,-5,1
1564,"Sterling","MA",42.44,-71.77,-5,1
1566,"Sturbridge","MA",42.1,-72.09,-5,1
1568,"Upton","MA",42.17,-71.61,-5,1
1569,"Uxbridge","MA",42.06,-71.63,-5,1
1570,"Webster","MA",42.05,-71.86,-5,1
1571,"Dudley","MA",42.05,-71.92,-5,1
1580,"Westborough","MA",42.36,-71.9,-5,1
1581,"Westborough","MA",42.27,-71.61,-5,1
1582,"Westborough","MA",42.36,-71.9,-5,1
1583,"West Boylston","MA",42.36,-71.79,-5,1
1585,"West Brookfield","MA",42.24,-72.17,-5,1
1586,"West Millbury","MA",42.36,-71.9,-5,1
1588,"Whitinsville","MA",42.11,-71.67,-5,1
1590,"Sutton","MA",42.13,-71.75,-5,1
1601,"Worcester","MA",42.27,-71.88,-5,1
1602,"Worcester","MA",42.27,-71.84,-5,1
1603,"Worcester","MA",42.24,-71.84,-5,1
1604,"Worcester","MA",42.26,-71.77,-5,1
1605,"Worcester","MA",42.29,-71.79,-5,1
1606,"Worcester","MA",42.31,-71.8,-5,1
1607,"Worcester","MA",42.23,-71.8,-5,1
1608,"Worcester","MA",42.26,-71.8,-5,1
1609,"Worcester","MA",42.27,-71.81,-5,1
1610,"Worcester","MA",42.25,-71.81,-5,1
1611,"Cherry Valley","MA",42.24,-71.87,-5,1
1612,"Paxton","MA",42.31,-71.92,-5,1
1613,"Worcester","MA",42.29,-71.8,-5,1
1614,"Worcester","MA",42.36,-71.9,-5,1
1615,"Worcester","MA",42.36,-71.9,-5,1
1634,"Tolland","MA",42.07,-73,-5,1
1653,"Worcester","MA",42.36,-71.9,-5,1
1654,"Worcester","MA",42.36,-71.9,-5,1
1655,"Worcester","MA",42.36,-71.9,-5,1
1701,"Framingham","MA",42.32,-71.42,-5,1
1702,"Framingham","MA",42.28,-71.42,-5,1
1703,"Framingham","MA",42.45,-71.46,-5,1
1704,"Framingham","MA",42.45,-71.46,-5,1
1705,"Framingham","MA",42.45,-71.46,-5,1
1718,"Village Of Nagog Woods","MA",42.52,-71.43,-5,1
1719,"Boxborough","MA",42.49,-71.51,-5,1
1720,"Acton","MA",42.48,-71.44,-5,1
1721,"Ashland","MA",42.26,-71.46,-5,1
1730,"Bedford","MA",42.5,-71.28,-5,1
1731,"Hanscom AFB","MA",42.46,-71.28,-5,1
1740,"Bolton","MA",42.44,-71.61,-5,1
1741,"Carlisle","MA",42.53,-71.35,-5,1
1742,"Concord","MA",42.46,-71.37,-5,1
